symbol,short_name,region,exchange,exchange_timezone,market_cap,beta
SNV,Synovus Financial Corp.,US,NYQ,EDT,6439463424,1.391
SO,Southern Company (The),US,NYQ,EDT,99128778752,0.446
SOFI,"SoFi Technologies, Inc.",US,NMS,EDT,13257168896,1.804
SONY,Sony Group Corporation,US,NYQ,EDT,145300586496,0.725
SPCE,"Virgin Galactic Holdings, Inc.",US,NYQ,EDT,114756736,2.163
SPGI,S&P Global Inc.,US,NYQ,EDT,149741617152,1.2
SPOT,Spotify Technology S.A.,US,NYQ,EDT,117663539200,1.667
SPR,"Spirit Aerosystems Holdings, In",US,NYQ,EDT,3921374976,1.778
SRPT,"Sarepta Therapeutics, Inc.",US,NMS,EDT,9430549504,0.788
STLA,Stellantis N.V.,US,NYQ,EDT,35660591104,1.199
STNE,StoneCo Ltd.,US,NMS,EDT,2884653056,2.331
STX,Seagate Technology Holdings PLC,US,NMS,EDT,18609045504,1.036
STZ,"Constellation Brands, Inc.",US,NYQ,EDT,32776484864,0.892
SU,Suncor Energy  Inc.,US,NYQ,EDT,45378293760,1.467
SYM,Symbotic Inc.,US,NGM,EDT,12738686976,1.853
T,AT&T Inc.,US,NYQ,EDT,190796021760,0.705
TAL,TAL Education Group,US,NYQ,EDT,8036964352,0.056
TDOC,"Teladoc Health, Inc.",US,NYQ,EDT,1497052672,1.272
TEAM,Atlassian Corporation,US,NMS,EDT,57231282176,0.912
TECK,Teck Resources Ltd,US,NYQ,EDT,21098749952,1.294
TEVA,Teva Pharmaceutical Industries ,US,NYQ,EDT,19010732032,0.826
TFC,Truist Financial Corporation,US,NYQ,EDT,52931940352,1.059
TGT,Target Corporation,US,NYQ,EDT,47698804736,1.182
TGTX,"TG Therapeutics, Inc.",US,NCM,EDT,6414779904,2.301
TIGR,UP Fintech Holding Limited,US,NMS,EDT,1429754368,0.868
TJX,"TJX Companies, Inc. (The)",US,NYQ,EDT,127322365952,0.962
TLRY,"Tilray Brands, Inc.",US,NMS,EDT,569630144,2.037
TMO,Thermo Fisher Scientific Inc,US,NYQ,EDT,196949098496,0.789
TMUS,"T-Mobile US, Inc.",US,NMS,EDT,292262608896,0.636
TOL,"Toll Brothers, Inc.",US,NYQ,EDT,10429946880,1.763
TPR,"Tapestry, Inc.",US,NYQ,EDT,14586276864,1.599
TRIP,"TripAdvisor, Inc.",US,NMS,EDT,1942886912,1.358
TSCO,Tractor Supply Company,US,NMS,EDT,27550134272,0.842
TSLA,"Tesla, Inc.",US,NMS,EDT,804065640448,2.507
TSM,Taiwan Semiconductor Manufactur,US,NYQ,EDT,902926434304,1.255
TTD,"The Trade Desk, Inc.",US,NGM,EDT,26759038976,1.626
TTWO,"Take-Two Interactive Software, ",US,NMS,EDT,36105789440,0.82
TWLO,Twilio Inc.,US,NYQ,EDT,15106187264,1.47
TXN,Texas Instruments Incorporated,US,NMS,EDT,160527728640,0.965
TXRH,"Texas Roadhouse, Inc.",US,NMS,EDT,11462064128,1.014
U,Unity Software Inc.,US,NYQ,EDT,8508742144,2.269
UAL,"United Airlines Holdings, Inc.",US,NMS,EDT,24115136512,1.414
UBER,"Uber Technologies, Inc.",US,NYQ,EDT,149468676096,1.39
UBS,UBS Group AG Registered,US,NYQ,EDT,103912185856,0.997
UEC,Uranium Energy Corp.,US,ASE,EDT,2177958400,1.822
ULTA,"Ulta Beauty, Inc.",US,NMS,EDT,16577242112,1.34
UNH,UnitedHealth Group Incorporated,US,NYQ,EDT,446974001152,0.634
UNP,Union Pacific Corporation,US,NYQ,EDT,143536062464,1.052
UPS,"United Parcel Service, Inc.",US,NYQ,EDT,99733127168,0.929
UPST,"Upstart Holdings, Inc.",US,NMS,EDT,4548731904,2.252
URBN,"Urban Outfitters, Inc.",US,NMS,EDT,4504274944,1.563
URI,"United Rentals, Inc.",US,NYQ,EDT,40681099264,1.767
USB,U.S. Bancorp,US,NYQ,EDT,65467580416,1.041
UWMC,UWM Holdings Corporation,US,NYQ,EDT,9868609536,1.687
V,Visa Inc.,US,NYQ,EDT,640045481984,0.949
VALE,VALE S.A.,US,NYQ,EDT,41876733952,0.896
VERU,Veru Inc.,US,NCM,EDT,70908408,-0.451
VFC,V.F. Corporation,US,NYQ,EDT,6474703360,1.493
VKTX,"Viking Therapeutics, Inc.",US,NCM,EDT,3467340544,0.897
VLO,Valero Energy Corporation,US,NYQ,EDT,40676257792,1.34
VOD,Vodafone Group Plc,US,NMS,EDT,23884933120,0.538
VRT,"Vertiv Holdings, LLC",US,NYQ,EDT,33298860032,1.709
VRTX,Vertex Pharmaceuticals Incorpor,US,NMS,EDT,129619886080,0.415
VST,Vistra Corp.,US,NYQ,EDT,42187460608,1.232
VZ,Verizon Communications Inc.,US,NYQ,EDT,183416635392,0.396
W,Wayfair Inc.,US,NYQ,EDT,4047000320,3.449
WB,Weibo Corporation,US,NMS,EDT,2615623936,0.281
WBA,"Walgreens Boots Alliance, Inc.",US,NMS,EDT,9710972928,0.598
WBD,"Warner Bros. Discovery, Inc. - ",US,NMS,EDT,25014003712,1.49
WDAY,"Workday, Inc.",US,NMS,EDT,64949219328,1.377
WDC,Western Digital Corporation,US,NMS,EDT,15488602112,1.457
WFC,Wells Fargo & Company,US,NYQ,EDT,232968257536,1.156
WGS,GeneDx Holdings Corp.,US,NMS,EDT,2763885568,1.981
WKHS,"Workhorse Group, Inc.",US,NCM,EDT,8532348,2.787
WMB,"Williams Companies, Inc. (The)",US,NYQ,EDT,69833318400,1.071
WMT,Walmart Inc.,US,NYQ,EDT,685649821696,0.537
WOLF,"Wolfspeed, Inc.",US,NYQ,EDT,910090368,1.499
WPM,Wheaton Precious Metals Corp,US,NYQ,EDT,33490511872,0.705
WULF,TeraWulf Inc.,US,NCM,EDT,1249029888,4.078
WYNN,"Wynn Resorts, Limited",US,NMS,EDT,9169638400,1.765
X,United States Steel Corporation,US,NYQ,EDT,8783462400,1.864
XOM,Exxon Mobil Corporation,US,NYQ,EDT,485549768704,0.802
XP,XP Inc.,US,NMS,EDT,7883995136,1.606
XPEV,XPeng Inc.,US,NYQ,EDT,22471122944,2.67
XYZ,"Block, Inc.",US,NYQ,EDT,35446644736,2.78
Z,"Zillow Group, Inc.",US,NMS,EDT,16989594624,2.337
ZI,ZoomInfo Technologies Inc.,US,NMS,EDT,3817175808,0.976
ZIM,ZIM Integrated Shipping Service,US,NYQ,EDT,2197153792,1.624
ZM,"Zoom Communications, Inc.",US,NMS,EDT,22648360960,0.253
ZS,"Zscaler, Inc.",US,NMS,EDT,30606149632,0.878
